,index,ilkid,year,firstname,lastname,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,x,y,scores
413,15310,WEBBECH01,2002,Chris,Webber,67,2622,1542,160,544,704,364,106,88,215.0,204,1433,661,354,215,21,5,1.333853176809094,0.07548330003698028,301
408,3447,DAVISRI01,2002,Ricky,Davis,79,3131,1626,97,293,390,436,125,36,277.0,180,1470,602,465,348,204,74,1.3743933521726976,-0.3915710612204705,287
395,4984,GASOLPA01,2002,Pau,Gasol,82,2948,1555,192,528,720,229,34,148,213.0,220,1116,569,565,416,10,1,1.2505588837250108,0.49619383313602783,273
390,14231,TERRYJA01,2002,Jason,Terry,81,3081,1395,37,242,279,600,126,14,249.0,175,1141,488,292,259,431,160,1.2368148936884968,-0.7635459991388812,266
377,13830,STACKJE01,2002,Jerry,Stackhouse,70,2747,1508,61,197,258,316,65,28,193.0,130,1201,491,518,455,245,71,1.1076517703873323,-0.41761346088460194,259
373,3951,DUNCATI01,2002,Tim,Duncan,81,3181,1884,259,784,1043,316,55,237,248.0,231,1392,714,634,450,22,6,1.760354099190099,0.6730687619915379,252
353,13691,SNOWER01,2002,Eric,Snow,82,3108,1054,71,230,301,544,133,11,194.0,235,799,361,379,325,32,7,1.0524374333667657,-0.37938256412159643,245
336,1860,BRYANKO01,2002,Kobe,Bryant,82,3401,2461,106,458,564,481,181,67,288.0,218,1924,868,713,601,324,124,2.086930388349903,-0.40775806581447077,238
334,15080,WALLABE01,2002,Ben,Wallace,73,2873,506,293,833,1126,120,104,230,88.0,179,437,210,189,85,6,1,0.7745277396575523,1.079793508899523,231
331,4944,GARNEKE01,2002,Kevin,Garnett,82,3321,1883,244,858,1102,495,113,129,229.0,199,1481,743,502,377,71,20,1.852947862474839,0.3234400731896516,224
