,firstname,lastname,pts,asts,oreb,dreb,stl,blk,turnover
462,Amare,Stoudemire,2080,131,219,494,77,130,189.0
448,Tim,Duncan,1342,179,202,530,45,174,127.0
395,Ben,Wallace,721,123,292,610,106,176,80.0
381,Jason,Kidd,951,545,94,394,123,9,167.0
369,Dwyane,Wade,1854,520,110,287,121,82,321.0
311,Paul,Pierce,1769,348,78,461,133,39,230.0
289,Kevin,Garnett,1817,466,247,861,121,112,222.0
267,Steve,Francis,1663,547,126,324,112,28,317.0
253,Elton,Brand,1622,208,296,474,62,169,183.0
219,Zydrunas,Ilgauskas,1320,100,299,373,53,165,191.0
