Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Nov 2 2004,8:00p,Houston Rockets,79,Detroit Pistons,87,Box Score,,22076,
Tue Nov 2 2004,8:30p,Sacramento Kings,98,Dallas Mavericks,107,Box Score,,20041,
Tue Nov 2 2004,10:30p,DEN,78,Los Angeles Lakers,89,Box Score,,18997,
Wed Nov 3 2004,7:00p,Indiana Pacers,109,Cleveland Cavaliers,104,Box Score,2OT,19730,
Wed Nov 3 2004,7:00p,Milwaukee Bucks,92,Orlando Magic,93,Box Score,,15138,
Wed Nov 3 2004,7:00p,Houston Rockets,88,Toronto Raptors,95,Box Score,,19800,
Wed Nov 3 2004,7:30p,Philadelphia 76ers,98,Boston Celtics,95,Box Score,,18624,
Wed Nov 3 2004,8:00p,Washington Wizards,103,Memphis Grizzlies,91,Box Score,,18119,
Wed Nov 3 2004,8:00p,New York Knicks,93,Minnesota Timberwolves,99,Box Score,,17295,
Wed Nov 3 2004,8:00p,Miami Heat,100,New Jersey Nets,77,Box Score,,17260,
Wed Nov 3 2004,8:00p,Dallas Mavericks,106,New Orleans Hornets,91,Box Score,,17682,
Wed Nov 3 2004,8:30p,Sacramento Kings,85,San Antonio Spurs,101,Box Score,,18797,
Wed Nov 3 2004,9:00p,Atlanta Hawks,82,Phoenix Suns,112,Box Score,,18422,
Wed Nov 3 2004,10:30p,POR,78,Golden State Warriors,75,Box Score,,15351,
Wed Nov 3 2004,10:30p,SEA,84,Los Angeles Clippers,114,Box Score,,13371,
Wed Nov 3 2004,10:30p,Los Angeles Lakers,78,Utah Jazz,104,Box Score,,19911,
Thu Nov 4 2004,7:00p,Washington Wizards,103,Charlotte Bobcats,96,Box Score,,23319,
Thu Nov 4 2004,8:00p,Cleveland Cavaliers,86,Miami Heat,92,Box Score,,20235,
Thu Nov 4 2004,10:30p,Minnesota Timberwolves,92,DEN,94,Box Score,OT,19099,
Fri Nov 5 2004,7:00p,Phoenix Suns,108,Philadelphia 76ers,98,Box Score,,19385,
Fri Nov 5 2004,7:00p,Detroit Pistons,89,Toronto Raptors,101,Box Score,,15284,
Fri Nov 5 2004,7:30p,Indiana Pacers,100,Boston Celtics,94,Box Score,,13702,
Fri Nov 5 2004,8:00p,Houston Rockets,89,Memphis Grizzlies,81,Box Score,,18119,
Fri Nov 5 2004,8:00p,Orlando Magic,90,New Orleans Hornets,89,Box Score,,14218,
Fri Nov 5 2004,8:30p,New Jersey Nets,111,Chicago Bulls,106,Box Score,2OT,20117,
Fri Nov 5 2004,10:00p,Los Angeles Clippers,81,POR,94,Box Score,,19818,
Fri Nov 5 2004,10:30p,Utah Jazz,102,Golden State Warriors,80,Box Score,,15668,
Fri Nov 5 2004,10:30p,San Antonio Spurs,105,Los Angeles Lakers,96,Box Score,,18997,
Fri Nov 5 2004,10:30p,Atlanta Hawks,85,SEA,106,Box Score,,16103,
Sat Nov 6 2004,7:00p,Orlando Magic,100,Charlotte Bobcats,111,Box Score,,20873,
Sat Nov 6 2004,7:00p,Miami Heat,118,Washington Wizards,106,Box Score,,19859,
Sat Nov 6 2004,7:30p,Philadelphia 76ers,91,Detroit Pistons,99,Box Score,,22076,
Sat Nov 6 2004,7:30p,Boston Celtics,107,New York Knicks,73,Box Score,,19763,
Sat Nov 6 2004,8:00p,Chicago Bulls,90,Indiana Pacers,100,Box Score,,18022,
Sat Nov 6 2004,8:00p,New Orleans Hornets,92,Minnesota Timberwolves,99,Box Score,,15812,
Sat Nov 6 2004,8:00p,Phoenix Suns,112,New Jersey Nets,80,Box Score,,13254,
Sat Nov 6 2004,8:30p,Memphis Grizzlies,88,Dallas Mavericks,112,Box Score,,19796,
Sat Nov 6 2004,8:30p,Sacramento Kings,101,Houston Rockets,104,Box Score,OT,18003,
Sat Nov 6 2004,8:30p,Cleveland Cavaliers,88,Milwaukee Bucks,102,Box Score,,17863,
Sat Nov 6 2004,9:00p,Utah Jazz,106,DEN,82,Box Score,,19099,
Sat Nov 6 2004,10:30p,Los Angeles Clippers,94,Golden State Warriors,86,Box Score,,16385,
Sun Nov 7 2004,12:30p,POR,97,Toronto Raptors,101,Box Score,,13863,
Sun Nov 7 2004,8:00p,San Antonio Spurs,94,SEA,113,Box Score,,15851,
Sun Nov 7 2004,9:30p,Atlanta Hawks,90,Los Angeles Lakers,106,Box Score,,18997,
Mon Nov 8 2004,8:30p,Golden State Warriors,98,Dallas Mavericks,101,Box Score,OT,19527,
Mon Nov 8 2004,9:00p,DEN,91,Utah Jazz,102,Box Score,,18667,
Mon Nov 8 2004,10:30p,Detroit Pistons,99,Los Angeles Clippers,96,Box Score,2OT,15866,
Tue Nov 9 2004,7:00p,Dallas Mavericks,84,Orlando Magic,94,Box Score,,13155,
Tue Nov 9 2004,7:30p,Cleveland Cavaliers,93,Atlanta Hawks,79,Box Score,,19624,
Tue Nov 9 2004,7:30p,Washington Wizards,93,Miami Heat,103,Box Score,,18465,
Tue Nov 9 2004,7:30p,POR,60,New Jersey Nets,64,Box Score,,13621,
Tue Nov 9 2004,7:30p,Philadelphia 76ers,88,New York Knicks,96,Box Score,,19001,
Tue Nov 9 2004,8:00p,Indiana Pacers,102,Minnesota Timberwolves,101,Box Score,,15409,
Tue Nov 9 2004,8:00p,Los Angeles Lakers,106,New Orleans Hornets,98,Box Score,,17202,
Tue Nov 9 2004,8:30p,Phoenix Suns,94,Chicago Bulls,74,Box Score,,17595,
Tue Nov 9 2004,8:30p,Memphis Grizzlies,87,Houston Rockets,90,Box Score,,11568,
Tue Nov 9 2004,9:00p,SEA,108,DEN,88,Box Score,,12962,
Tue Nov 9 2004,10:00p,Toronto Raptors,92,Sacramento Kings,108,Box Score,,17317,
Wed Nov 10 2004,7:00p,POR,88,Boston Celtics,90,Box Score,,13341,
Wed Nov 10 2004,7:00p,Los Angeles Clippers,102,Indiana Pacers,68,Box Score,,14657,
Wed Nov 10 2004,7:00p,New Jersey Nets,100,Philadelphia 76ers,108,Box Score,OT,15678,
Wed Nov 10 2004,7:00p,Orlando Magic,96,Washington Wizards,106,Box Score,,15042,
Wed Nov 10 2004,8:00p,Phoenix Suns,109,Cleveland Cavaliers,114,Box Score,OT,15190,
Wed Nov 10 2004,8:00p,Los Angeles Lakers,87,Memphis Grizzlies,110,Box Score,,18119,
Wed Nov 10 2004,8:00p,Charlotte Bobcats,100,Milwaukee Bucks,102,Box Score,,17029,
Wed Nov 10 2004,8:30p,Golden State Warriors,71,San Antonio Spurs,91,Box Score,,16826,
Wed Nov 10 2004,9:00p,Toronto Raptors,104,Utah Jazz,95,Box Score,,19683,
Wed Nov 10 2004,10:30p,Sacramento Kings,78,SEA,108,Box Score,,14355,
Thu Nov 11 2004,8:00p,Dallas Mavericks,113,Miami Heat,93,Box Score,,19985,
Thu Nov 11 2004,8:30p,Minnesota Timberwolves,96,Houston Rockets,91,Box Score,,15566,
Thu Nov 11 2004,10:30p,Detroit Pistons,109,DEN,117,Box Score,,18711,
Fri Nov 12 2004,7:00p,Los Angeles Lakers,113,Orlando Magic,122,Box Score,,17283,
Fri Nov 12 2004,7:00p,Indiana Pacers,104,Philadelphia 76ers,106,Box Score,OT,15729,
Fri Nov 12 2004,7:30p,Charlotte Bobcats,74,Boston Celtics,91,Box Score,,14012,
Fri Nov 12 2004,7:30p,Los Angeles Clippers,96,New York Knicks,110,Box Score,,19763,
Fri Nov 12 2004,8:00p,Golden State Warriors,67,Memphis Grizzlies,96,Box Score,,17086,
Fri Nov 12 2004,8:00p,Atlanta Hawks,96,New Orleans Hornets,95,Box Score,,12069,
Fri Nov 12 2004,8:00p,Miami Heat,84,San Antonio Spurs,93,Box Score,,18797,
Fri Nov 12 2004,10:30p,Toronto Raptors,87,SEA,88,Box Score,,15702,
Sat Nov 13 2004,1:00p,Washington Wizards,74,Cleveland Cavaliers,105,Box Score,,16105,
Sat Nov 13 2004,1:00p,Dallas Mavericks,94,New Jersey Nets,78,Box Score,,12975,
Sat Nov 13 2004,7:00p,San Antonio Spurs,103,Atlanta Hawks,88,Box Score,,11326,
Sat Nov 13 2004,7:00p,Golden State Warriors,103,Charlotte Bobcats,87,Box Score,,12376,
Sat Nov 13 2004,8:00p,New York Knicks,97,Indiana Pacers,103,Box Score,,17548,
Sat Nov 13 2004,8:30p,Los Angeles Clippers,97,Chicago Bulls,96,Box Score,,21764,
Sat Nov 13 2004,8:30p,Los Angeles Lakers,84,Houston Rockets,79,Box Score,,18181,
Sat Nov 13 2004,8:30p,New Orleans Hornets,91,Milwaukee Bucks,94,Box Score,,16333,
Sat Nov 13 2004,9:00p,Sacramento Kings,113,Phoenix Suns,111,Box Score,,18422,
Sat Nov 13 2004,9:00p,Detroit Pistons,93,Utah Jazz,108,Box Score,,19911,
Sat Nov 13 2004,10:00p,Toronto Raptors,102,POR,105,Box Score,,16362,
Sun Nov 14 2004,1:00p,Dallas Mavericks,122,Washington Wizards,113,Box Score,,15420,
Sun Nov 14 2004,2:00p,Orlando Magic,87,Philadelphia 76ers,96,Box Score,,17457,
Sun Nov 14 2004,6:00p,Milwaukee Bucks,110,Miami Heat,112,Box Score,2OT,18984,
Sun Nov 14 2004,8:00p,Memphis Grizzlies,113,SEA,118,Box Score,,12302,
Sun Nov 14 2004,9:00p,DEN,89,Sacramento Kings,101,Box Score,,17317,
Mon Nov 15 2004,7:00p,Golden State Warriors,88,Cleveland Cavaliers,99,Box Score,,20562,
Mon Nov 15 2004,7:30p,Houston Rockets,80,New Jersey Nets,69,Box Score,,13942,
Tue Nov 16 2004,7:00p,Utah Jazz,107,Charlotte Bobcats,105,Box Score,,10412,
Tue Nov 16 2004,7:00p,SEA,103,Philadelphia 76ers,95,Box Score,,15589,
Tue Nov 16 2004,7:30p,Houston Rockets,84,Atlanta Hawks,88,Box Score,,16595,
Tue Nov 16 2004,8:00p,Miami Heat,97,Minnesota Timberwolves,108,Box Score,,17347,
Tue Nov 16 2004,8:30p,Phoenix Suns,107,Dallas Mavericks,101,Box Score,,20238,
Tue Nov 16 2004,8:30p,New York Knicks,81,San Antonio Spurs,99,Box Score,,17705,
Tue Nov 16 2004,10:00p,Chicago Bulls,106,Sacramento Kings,113,Box Score,,17317,
Tue Nov 16 2004,10:30p,Toronto Raptors,89,Los Angeles Clippers,101,Box Score,,14985,
Wed Nov 17 2004,7:00p,Atlanta Hawks,86,Indiana Pacers,93,Box Score,,14632,
Wed Nov 17 2004,7:00p,Utah Jazz,92,Orlando Magic,107,Box Score,,13386,
Wed Nov 17 2004,7:00p,Boston Celtics,105,Washington Wizards,110,Box Score,OT,14613,
Wed Nov 17 2004,7:30p,Minnesota Timberwolves,85,Detroit Pistons,93,Box Score,,22076,
Wed Nov 17 2004,7:30p,SEA,79,New Jersey Nets,68,Box Score,,12127,
Wed Nov 17 2004,8:00p,Phoenix Suns,95,New Orleans Hornets,84,Box Score,,11359,
Wed Nov 17 2004,9:00p,Toronto Raptors,106,DEN,112,Box Score,,14818,
Wed Nov 17 2004,9:00p,Miami Heat,113,Milwaukee Bucks,106,Box Score,,15891,
Wed Nov 17 2004,10:00p,Memphis Grizzlies,101,POR,82,Box Score,,14176,
Wed Nov 17 2004,10:30p,Chicago Bulls,85,Golden State Warriors,98,Box Score,,14866,
Wed Nov 17 2004,10:30p,Los Angeles Clippers,89,Los Angeles Lakers,103,Box Score,,18997,
Thu Nov 18 2004,7:00p,Cleveland Cavaliers,106,Charlotte Bobcats,89,Box Score,,14706,
Thu Nov 18 2004,7:00p,San Antonio Spurs,88,Philadelphia 76ers,80,Box Score,,16446,
Thu Nov 18 2004,9:30p,New York Knicks,93,Houston Rockets,92,Box Score,,11939,
Fri Nov 19 2004,7:00p,SEA,101,Toronto Raptors,94,Box Score,,16886,
Fri Nov 19 2004,7:30p,San Antonio Spurs,92,Boston Celtics,84,Box Score,,15586,
Fri Nov 19 2004,7:30p,Utah Jazz,105,Miami Heat,107,Box Score,OT,19735,
Fri Nov 19 2004,8:00p,Indiana Pacers,97,Detroit Pistons,82,Box Score,,22076,Malice at the Palace
Fri Nov 19 2004,8:30p,New York Knicks,101,Dallas Mavericks,103,Box Score,,19658,
Fri Nov 19 2004,9:00p,Chicago Bulls,81,DEN,99,Box Score,,17171,
Fri Nov 19 2004,9:00p,Los Angeles Lakers,102,Phoenix Suns,107,Box Score,,18422,
Fri Nov 19 2004,10:00p,Milwaukee Bucks,98,POR,110,Box Score,,15375,
Fri Nov 19 2004,10:30p,Memphis Grizzlies,105,Sacramento Kings,107,Box Score,,17317,
Sat Nov 20 2004,3:30p,Houston Rockets,91,Los Angeles Clippers,86,Box Score,OT,18255,
Sat Nov 20 2004,7:00p,Utah Jazz,92,Atlanta Hawks,79,Box Score,,11986,
Sat Nov 20 2004,7:30p,Charlotte Bobcats,84,Cleveland Cavaliers,100,Box Score,,18045,
Sat Nov 20 2004,8:00p,Orlando Magic,86,Indiana Pacers,83,Box Score,,17317,
Sat Nov 20 2004,8:00p,Washington Wizards,97,New Jersey Nets,86,Box Score,,14365,
Sat Nov 20 2004,8:00p,Minnesota Timberwolves,99,New Orleans Hornets,94,Box Score,,15632,
Sat Nov 20 2004,10:30p,Memphis Grizzlies,100,Golden State Warriors,87,Box Score,,16164,
Sun Nov 21 2004,1:00p,San Antonio Spurs,91,Toronto Raptors,96,Box Score,,17264,
Sun Nov 21 2004,3:30p,Phoenix Suns,122,Los Angeles Clippers,111,Box Score,,17077,
Sun Nov 21 2004,6:00p,SEA,83,Boston Celtics,102,Box Score,,15410,
Sun Nov 21 2004,6:00p,Charlotte Bobcats,116,Detroit Pistons,117,Box Score,2OT,22076,
Sun Nov 21 2004,6:00p,Philadelphia 76ers,83,Miami Heat,93,Box Score,,19600,
Sun Nov 21 2004,7:30p,Cleveland Cavaliers,88,New York Knicks,98,Box Score,,19763,
Sun Nov 21 2004,8:00p,Houston Rockets,97,POR,93,Box Score,,18025,
Sun Nov 21 2004,9:00p,Dallas Mavericks,82,DEN,110,Box Score,,15622,
Sun Nov 21 2004,9:00p,Milwaukee Bucks,79,Sacramento Kings,88,Box Score,,17317,
Sun Nov 21 2004,9:30p,Chicago Bulls,93,Los Angeles Lakers,102,Box Score,,18997,
Mon Nov 22 2004,8:00p,San Antonio Spurs,90,Memphis Grizzlies,93,Box Score,,16127,
Mon Nov 22 2004,8:30p,Minnesota Timberwolves,83,Dallas Mavericks,82,Box Score,,19939,
Mon Nov 22 2004,9:00p,Chicago Bulls,82,Phoenix Suns,100,Box Score,,15285,
Mon Nov 22 2004,9:00p,New Orleans Hornets,76,Utah Jazz,75,Box Score,,19911,
Tue Nov 23 2004,7:00p,Detroit Pistons,89,Charlotte Bobcats,91,Box Score,,13394,
Tue Nov 23 2004,7:00p,Boston Celtics,96,Indiana Pacers,106,Box Score,,17135,
Tue Nov 23 2004,7:00p,Toronto Raptors,86,Washington Wizards,102,Box Score,,14541,
Tue Nov 23 2004,7:30p,POR,99,Miami Heat,87,Box Score,,19065,
Tue Nov 23 2004,7:30p,Atlanta Hawks,88,New York Knicks,104,Box Score,,17952,
